Name,Similar Movies
Glitter,"Daniel the Wizard, Cosmic Sin, From Justin to Kelly, Glitter, Gigli, Jaws: The Revenge, Going Overboard, Turks in Space, BloodRayne, Hobgoblins, Pledge This!, Date Movie"
Son of the Mask,"Superbabies: Baby Geniuses 2, Saving Christmas, Kirk Cameron's Saving Christmas, The Mask, Baby Geniuses, Cats, Family Camp, Foodfight!, Marmaduke, Santa Claus Conquers the Martians, Kazaam, The Emoji Movie"
Who's Your Caddy?,"The Cost of Deception, Hobgoblins, Enes Batur: Imagination or Reality?, Jeepers Creepers: Reborn, BloodRayne, Jack and Jill, Left Behind, Cosmic Sin, 7 Days, Daniel the Wizard, 10.0 Earthquake, Troll 2"
Heropanti 2,"Baaghi 3, Heropanti, Street Dancer 3D, Baaghi 2, Thank God, Baaghi, Munna Michael, A Flying Jatt, Radhe Shyam, Student of the Year 2, Kalank, Doctor"
Hobgoblins,"BloodRayne, Cosmic Sin, The Cost of Deception, Who's Your Caddy?, Troll 2, Daniel the Wizard, Left Behind, Glitter, 365 Days: This Day, Hobgoblins 2, The Human Centipede III (Final Sequence), Enes Batur: Imagination or Reality?"
Student of the Year 2,"Student of the Year, Baaghi 3, Laxmii, The Open House, The Starving Games, Tees Maar Khan, Gunday, Baaghi 2, Breach, Heropanti, Munna Michael, Baaghi"
Baaghi 3,"Baaghi 2, Baaghi, Street Dancer 3D, Heropanti 2, Student of the Year 2, Munna Michael, Heropanti, Smolensk, Fifty Shades of Black, A Flying Jatt, Chhapaak, Captain America"
House of the Dead,"Pledge This!, The Hottie & the Nottie, Alone in the Dark, Manos: The Hands of Fate, Birdemic: Shock and Terror, From Justin to Kelly, House of the Dead 2, Battlefield Earth, Epic Movie, Radhe, Going Overboard, Disaster Movie"
The Hottie & the Nottie,"Manos: The Hands of Fate, Pledge This!, Birdemic: Shock and Terror, House of the Dead, Disaster Movie, Alone in the Dark, From Justin to Kelly, Epic Movie, Radhe, Battlefield Earth, Going Overboard, Daniel the Wizard"
Enes Batur: Imagination or Reality?,"Enes Batur: Gerçek Kahraman, Who's Your Caddy?, The Cost of Deception, Jeepers Creepers: Reborn, Slender Man, Hobgoblins, Jack and Jill, The Starving Games, BloodRayne, Left Behind, Cosmic Sin, The Open House"
Disaster Movie,"Epic Movie, Manos: The Hands of Fate, The Hottie & the Nottie, Birdemic: Shock and Terror, Date Movie, Meet the Spartans, Pledge This!, House of the Dead, Daniel the Wizard, From Justin to Kelly, Radhe, Alone in the Dark"
From Justin to Kelly,"Going Overboard, Daniel the Wizard, Pledge This!, Turks in Space, Race 3, Alone in the Dark, Gigli, Dragonball Evolution, The Hottie & the Nottie, Date Movie, Battlefield Earth, House of the Dead"
Race 3,"Radhe, From Justin to Kelly, Going Overboard, Turks in Space, Dabangg 3, Bharat, Pledge This!, Prem Ratan Dhan Payo, Tubelight, Daniel the Wizard, Alone in the Dark, Dabangg 2"
Radhe,"Race 3, Dabangg 3, Pledge This!, Bharat, Alone in the Dark, The Hottie & the Nottie, From Justin to Kelly, Battlefield Earth, House of the Dead, Going Overboard, Epic Movie, Manos: The Hands of Fate"
Going Overboard,"From Justin to Kelly, Turks in Space, Daniel the Wizard, Race 3, Pledge This!, Gigli, Alone in the Dark, Dragonball Evolution, Date Movie, The Hottie & the Nottie, Battlefield Earth, Shakes the Clown"
Birdemic: Shock and Terror,"Manos: The Hands of Fate, The Hottie & the Nottie, Pledge This!, Disaster Movie, House of the Dead, Birdemic 2: The Resurrection, Birdemic 3: Sea Eagle, From Justin to Kelly, Alone in the Dark, Battlefield Earth, Radhe, Epic Movie"
Manos: The Hands of Fate,"Birdemic: Shock and Terror, The Hottie & the Nottie, Disaster Movie, Pledge This!, House of the Dead, Manos Returns, Alone in the Dark, From Justin to Kelly, Battlefield Earth, Radhe, Daniel the Wizard, Epic Movie"
Pledge This!,"The Hottie & the Nottie, Alone in the Dark, Battlefield Earth, Dragonball Evolution, Radhe, From Justin to Kelly, House of the Dead, Epic Movie, Birdemic: Shock and Terror, Going Overboard, Race 3, Turks in Space"
The Oogieloves in the Big Balloon Adventure,"My Bedbugs, SpongeBob SquarePants Presents the Tidal Zone, Kamp Koral: SpongeBob's Under Years, The Patrick Star Show, Leo the Lion, The Bad Guys: A Very Bad Holiday, The Bad Guys: Haunted Heist, The Ice Age Adventures of Buck Wild, Saving Bikini Bottom: The Sandy Cheeks Movie, The SpongeBob Movie: Sponge on the Run, The Little Panda Fighter, Ratatoing"
Superbabies: Baby Geniuses 2,"Baby Geniuses, Kirk Cameron's Saving Christmas, Son of the Mask, Saving Christmas, Baby Geniuses and the Mystery of the Crown Jewels, Family Camp, Baby Geniuses and the Treasures of Egypt, Baby Geniuses and the Space Baby, Foodfight!, Cats, Marmaduke, Santa Claus Conquers the Martians"
The Cost of Deception,"Who's Your Caddy?, Aranybulla, Hobgoblins, Now or Never!, BloodRayne, Cosmic Sin, Daniel the Wizard, Left Behind, Enes Batur: Imagination or Reality?, Jeepers Creepers: Reborn, Troll 2, Blokád"
Turks in Space,"Going Overboard, Daniel the Wizard, Race 3, From Justin to Kelly, Gigli, Date Movie, Pledge This!, Meet the Spartans, Alone in the Dark, Dragonball Evolution, Cosmic Sin, The Man Who Saved the World"
Foodfight!,"Cats, Baby Geniuses, Kirk Cameron's Saving Christmas, Superbabies: Baby Geniuses 2, Finding Jesus, Son of the Mask, Ratatoing, The Autobots, What's Up: Balloon to the Rescue!, The Little Panda Fighter, Family Camp, Little Bee"
Kirk Cameron's Saving Christmas,"Superbabies: Baby Geniuses 2, Son of the Mask, Foodfight!, Baby Geniuses, Family Camp, Cats, Mercy Rule, Santa Claus Conquers the Martians, The Autobots, Marmaduke, Finding Jesus, Kazaam"
Daniel the Wizard,"Cosmic Sin, Date Movie, Gigli, Turks in Space, Going Overboard, Glitter, From Justin to Kelly, Jaws: The Revenge, The Cost of Deception, Race 3, BloodRayne, Pledge This!"
Smolensk,"Fifty Shades of Black, Baaghi 3, Far Cry, Mortal Kombat: Annihilation, Barb Wire, Hercules in New York, Feardotcom, Crossroads, Jaws 3-D, Batman & Robin, Daniel the Wizard, Superman IV: The Quest for Peace"
